Time,ueId,assoCell,compCell,taskCount, upWlMea,upWlStd,upWlMin,upWlMax,upWdMea,upWdStd,upWdMin,upWdMax,queMea,queStd,queMin,queMax,compMea, compStd, compMin, compMax,dnWdMea, dnWdStd, dnWdMin, dnWdMax,dnWlMea,dnWlStd, dnWlMin, dnWlMax
1,8,3,2,5,1.21429,0.0798589,1.07143,1.25,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,2.76713,0.0798589,2.73141,2.90998,
1,15,5,2,5,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,3.20998,0.67082,2.90998,4.40998,
1,19,6,3,5,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
1,3,2,6,6,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
1.1,7,3,2,6,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,2.87427,0,2.87427,2.87427,
1.1,8,3,2,7,1.25,0,1.25,1.25,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,2.73141,0,2.73141,2.73141,
1.1,15,5,2,6,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,3.11832,0.51031,2.90998,4.15998,
1.1,19,6,3,6,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
1.1,3,2,6,6,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
1.2,7,3,2,6,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,2.87427,0,2.87427,2.87427,
1.2,8,3,2,6,1.25,0,1.25,1.25,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,2.73141,0,2.73141,2.73141,
1.2,15,5,2,7,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
1.2,3,2,6,6,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
1.3,3,2,7,6,1.14665,0.080374,1.01884,1.19741,5.5,2.44949,0.500009,6.5,0,0,0,0,2,0,2,2,5.50109,2.44967,0.50072,6.50116,4.74809,1.74493,2.96214,6.71214,
1.3,15,2,9,1,1.0367,0,1.0367,1.0367,11.5,0,11.5,11.5,0,0,0,0,2,0,2,2,11.5012,0,11.5012,11.5012,38.3014,0,38.3014,38.3014,
1.3,2,2,2,5,1.07143,0,1.07143,1.07143,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,5.98928,2.86106,2.91071,8.85714,
1.3,7,3,2,7,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,4.42857,1.13389,4,7,0.50072,0,0.50072,0.50072,4.75947,1.30226,2.87427,5.90998,
1.3,12,4,3,3,1.34524,0.412393,1.10714,1.82143,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,18.7671,9.8372,8.62427,28.2671,
1.3,8,3,5,5,1.10714,0,1.10714,1.10714,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,5.90641,0.479723,5.39213,6.40998,
1.3,5,3,6,5,1.22143,0.00978068,1.21429,1.23214,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,4.7207,0.390128,4.30284,5.17784,
1.3,11,4,6,4,1.67857,0.285715,1.25,1.82143,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,5.65106,1.00905,4.67784,6.64213,
1.3,17,6,6,5,1.07143,0,1.07143,1.07143,0,0,0,0,0,0,0,0,7,0,7,7,0,0,0,0,2.91071,0,2.91071,2.91071,
1.4,3,2,7,6,1.19741,0,1.19741,1.19741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,4.39964,1.18906,2.99785,5.73,
1.4,15,2,9,8,2.58134,3.39076,1.0367,10.9474,11.5,0,11.5,11.5,0,0,0,0,2,0,2,2,11.5012,0,11.5012,11.5012,24.6072,13.9323,4.23,47.7479,
1.4,2,2,2,6,1.13095,0.0922132,1.07143,1.25,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,5.06548,1.83849,2.73214,7.33929,
1.4,7,3,2,6,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,5.17784,0,5.17784,5.17784,
1.4,12,4,3,7,4.18112,6.88474,1.10714,19.75,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,27.9687,11.1238,9.49927,46.6243,
1.4,8,3,5,6,1.10714,0,1.10714,1.10714,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,5.39213,0,5.39213,5.39213,
1.4,5,3,6,6,1.23512,0.00729009,1.23214,1.25,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,4.29987,0.00729009,4.28498,4.30284,
1.4,11,4,6,7,1.41327,0.388836,1,1.82143,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,5.37172,1.1181,2.90998,6.23141,
1.4,17,6,6,6,1.07143,0,1.07143,1.07143,0,0,0,0,0,0,0,0,7,0,7,7,0,0,0,0,2.91071,0,2.91071,2.91071,
1.5,3,2,7,6,1.2867,0.236362,1.01884,1.67955,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,3.56928,0.796437,2.98,4.99785,
1.5,15,2,9,7,1.1719,0.0674931,1.01884,1.19741,11.5,0,11.5,11.5,0,0,0,0,2,0,2,2,11.5012,0,11.5012,11.5012,4.95194,2.57151,3.98,10.7836,
1.5,2,2,2,6,1.07143,0,1.07143,1.07143,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,4.3125,1.20181,3.39286,6.42857,
1.5,7,3,2,6,1.19643,0.306186,1.07143,1.82143,0.500009,0,0.500009,0.500009,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,3.79986,0.741656,2.90998,5.17784,
1.5,12,4,3,7,5.38265,7.86771,1.10714,22.5,0.50001,3.40168e-06,0.500009,0.500018,0.499999,0.866023,0,1.99999,2,0,2,2,0.50072,0,0.50072,0.50072,8.25182,2.5609,4.48141,11.4993,
1.5,8,3,5,6,1.1131,0.0145802,1.10714,1.14286,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,3.59153,0.900001,2.87427,5.39213,
1.5,11,4,6,6,1.08631,0.0769446,1,1.23214,0.500009,0,0.500009,0.500009,0,0,0,0,4.5,1.22474,4,7,0.50072,0,0.50072,0.50072,5.10046,1.75585,2.73141,6.76713,
1.5,17,6,6,6,1.07143,0,1.07143,1.07143,0,0,0,0,0,0,0,0,4.5,1.22474,4,7,0,0,0,0,2.91071,0,2.91071,2.91071,
1.6,2,4,7,5,1.12222,0.109027,1.0367,1.2867,5.2,2.90689,0,6.5,0,0,0,0,10.4,3.57771,4,12,5.20093,2.90741,0,6.50116,2.959,0.240639,2.74785,3.375,
1.6,3,2,7,6,1.07836,0.0922132,1.01884,1.19741,6.5,0,6.5,6.5,0,0,0,0,10.3333,4.08248,2,12,6.50116,0,6.50116,6.50116,2.89369,0.0877848,2.73,2.99785,
1.6,7,3,7,4,1.21949,0.0987055,1.07143,1.26884,5,3,0.500009,6.5,0,0,0,0,10,4,4,12,5.00105,3.00022,0.50072,6.50116,3.1366,0.360925,2.94428,3.67784,
1.6,17,6,7,4,1.12127,0.0904998,1.01884,1.19741,4.875,3.25,0,6.5,0,0,0,0,10,4,4,12,4.87587,3.25058,0,6.50116,2.81982,0.103721,2.73,2.91071,
1.6,19,6,7,4,1.31348,0.0791906,1.25098,1.42955,6.5,0,6.5,6.5,0,0,0,0,12,0,12,12,6.50116,0,6.50116,6.50116,3.08714,0.102061,2.94428,3.17642,
1.6,11,4,9,3,1.20304,0.113975,1.07143,1.26884,7.83334,6.35085,0.500009,11.5,0,0,0,0,6,1.73205,4,7,7.83435,6.35111,0.50072,11.5012,5.09356,0.370933,4.67784,5.39071,
1.6,12,3,9,3,1.45304,0.319037,1.26884,1.82143,7.83334,6.35085,0.500009,11.5,0,0,0,0,5.33333,2.88675,2,7,7.83435,6.35111,0.50072,11.5012,10.5936,9.16625,5.30143,21.1778,
1.6,20,6,9,3,1.07836,0.103097,1.01884,1.19741,11.5,0,11.5,11.5,0,0,0,0,7,0,7,7,11.5012,0,11.5012,11.5012,3.09904,0.103097,2.98,3.15857,
1.6,6,3,2,4,1.08036,0.0103097,1.07143,1.08929,0.500009,0,0.500009,0.500009,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,15.0618,8.54976,7.40998,24.1778,
1.6,14,5,2,6,1.22024,0.0729009,1.07143,1.25,0.500009,0,0.500009,0.500009,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,3.13618,0.567696,2.73141,3.98141,
1.6,9,4,3,5,1.25714,0.0159718,1.25,1.28571,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,5.95641,1.71385,4.15998,7.89213,
1.6,8,3,4,6,1.12202,0.0877842,1.01786,1.19643,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,2.85939,0.242335,2.6957,3.3207,
1.6,15,5,6,5,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,3.17427,0.00798589,3.15998,3.17784,
1.7,2,4,7,6,1.12598,0.0837568,1.01884,1.19741,6.5,0,6.5,6.5,0,0,0,0,12,0,12,12,6.50116,0,6.50116,6.50116,4.91154,1.71575,2.73,6.40857,
1.7,3,2,7,6,1.01884,0,1.01884,1.01884,6.5,0,6.5,6.5,0,0,0,0,12,0,12,12,6.50116,0,6.50116,6.50116,2.90857,0,2.90857,2.90857,
1.7,7,3,7,7,1.26884,0,1.26884,1.26884,6.5,0,6.5,6.5,0,0,0,0,12,0,12,12,6.50116,0,6.50116,6.50116,2.94428,0,2.94428,2.94428,
1.7,17,6,7,7,1.19741,0,1.19741,1.19741,6.5,0,6.5,6.5,0,0,0,0,12,0,12,12,6.50116,0,6.50116,6.50116,2.73,0,2.73,2.73,
1.7,19,6,7,6,1.42955,0,1.42955,1.42955,6.5,0,6.5,6.5,0,0,0,0,12,0,12,12,6.50116,0,6.50116,6.50116,2.94428,0,2.94428,2.94428,
1.7,11,4,9,7,1.25864,0.00954497,1.25098,1.26884,11.5,0,11.5,11.5,0,0,0,0,7,0,7,7,11.5012,0,11.5012,11.5012,4.98255,1.55119,2.76571,6.15857,
1.7,12,3,9,7,1.1617,0,1.1617,1.1617,11.5,0,11.5,11.5,0,0,0,0,7,0,7,7,11.5012,0,11.5012,11.5012,6.29887,5.63098,3.49785,19.0157,
1.7,20,6,9,6,1.19741,0,1.19741,1.19741,11.5,0,11.5,11.5,0,0,0,0,7,0,7,7,11.5012,0,11.5012,11.5012,2.98,0,2.98,2.98,
1.7,6,3,2,7,1.08929,0,1.08929,1.08929,0.500009,0,0.500009,0.500009,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,12.859,8.02602,5.64213,22.8743,
1.7,14,5,2,6,1.25,0,1.25,1.25,0.500009,0,0.500009,0.500009,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,3.56475,0.942523,2.73141,4.74927,
1.7,9,4,3,2,1.25893,0.0126268,1.25,1.26786,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,29.7046,31.5294,7.40998,51.9993,
1.7,8,3,4,6,1.19643,0,1.19643,1.19643,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,2.6957,0,2.6957,2.6957,
1.7,15,5,6,6,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,4.66891,0.283642,4.40998,4.92784,
1.8,2,4,7,6,1.08432,0.129099,0.929554,1.19741,6.5,0,6.5,6.5,0,0,0,0,12,0,12,12,6.50116,0,6.50116,6.50116,5.59012,2.48024,2.73,7.94428,
1.8,3,2,7,6,1.01884,0,1.01884,1.01884,6.5,0,6.5,6.5,0,0,0,0,12,0,12,12,6.50116,0,6.50116,6.50116,2.90857,0,2.90857,2.90857,
1.8,7,3,7,6,1.26884,0,1.26884,1.26884,6.5,0,6.5,6.5,0,0,0,0,12,0,12,12,6.50116,0,6.50116,6.50116,3.47107,0.991208,2.94428,5.46214,
1.8,17,6,7,6,1.19741,0,1.19741,1.19741,6.5,0,6.5,6.5,0,0,0,0,12,0,12,12,6.50116,0,6.50116,6.50116,3.02762,0.40211,2.73,3.73,
1.8,19,6,7,6,1.59622,0.258199,1.42955,1.92955,6.5,0,6.5,6.5,0,0,0,0,12,0,12,12,6.50116,0,6.50116,6.50116,2.94428,0,2.94428,2.94428,
1.8,11,4,9,6,1.67956,0.466205,1.25098,2.26884,11.5,0,11.5,11.5,0,0,0,0,7,0,7,7,11.5012,0,11.5012,11.5012,7.22405,2.36462,2.99785,9.21214,
1.8,12,3,9,6,10.8496,14.6352,1.1617,36.501,11.5,0,11.5,11.5,4.87158,5.8363,0,13.9982,7,0,7,7,11.5031,0.00467077,11.5012,11.5126,7.43345,6.4559,2.89713,20.4264,
1.8,20,6,9,6,1.43551,0.368856,1.19741,1.9117,11.5,0,11.5,11.5,0,0,0,0,7,0,7,7,11.5012,0,11.5012,11.5012,3.82524,0.693323,2.99785,4.73,
1.8,14,5,2,6,1.25,0,1.25,1.25,0.500009,0,0.500009,0.500009,0,0,0,0,2.33333,0.816497,2,4,0.50072,0,0.50072,0.50072,2.73141,0,2.73141,2.73141,
1.8,9,4,3,5,3.84643,5.36442,1.17857,13.4286,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,80.6993,10.4729,74.1421,98.8743,
1.8,8,3,4,7,1.19388,0.00674931,1.17857,1.19643,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,2.9508,0.569259,2.6957,4.23141,
1.8,15,5,6,7,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,3.12427,0.566947,2.90998,4.40998,
1.9,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.9,16,5,8,4,1.19741,0,1.19741,1.19741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,7.61839,1.04931,6.89071,9.17643,
1.9,3,2,9,4,1.10813,0.103097,1.01884,1.19741,9,2.88675,6.5,11.5,0,0,0,0,7,5.7735,2,12,9.00116,2.88675,6.50116,11.5012,4.24339,2.03014,2.73,7.12285,
1.9,2,4,2,6,1.2085,0.0857376,1.125,1.35714,1.50001,2.44949,0.500009,6.5,0,0,0,0,9.5,1.22474,9,12,1.50079,2.44967,0.50072,6.50116,10.5734,7.35227,3.64213,24.4814,
1.9,7,3,2,5,1.325,0.120055,1.16071,1.41071,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,4.08856,2.99489,2.73141,9.4457,
1.9,8,3,2,5,1.43571,0.339662,1.01786,1.76786,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,4.75641,3.51452,2.99927,11.035,
1.9,9,2,2,8,5.625,8.99371,0.839285,26.4286,0.375008,0.23146,0,0.500018,0.249999,0.707104,0,1.99999,3.75,3.24037,2,9,0.37554,0.231788,0,0.50072,63.9637,38.6762,6.21429,114.124,
1.9,10,4,4,5,1.38929,0.410792,1.08929,2.08928,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,21.6929,12.9762,7.14286,39.9643,
1.9,12,4,4,6,1.15195,0.0952367,1.03571,1.26884,1.91667,4.69486,0,11.5,0,0,0,0,8.66667,0.816497,7,9,1.91686,4.69533,0,11.5012,6.12464,1.64514,3.625,7.91071,
1.9,13,5,4,5,1.24286,0.126016,1.125,1.375,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,6.64927,1.37978,5.30284,8.58856,
1.9,20,2,4,4,1.49578,0.358526,1.19643,1.9117,3.25001,5.5,0.500009,11.5,0,0,0,0,8.5,1,7,9,3.25083,5.50022,0.50072,11.5012,26.0212,16.6996,3.23,39.3921,
1.9,15,5,5,4,1.48214,0.513011,1.17857,2.25,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,9.44643,1.00773,8.42857,10.3214,
1.9,1,2,6,4,1.16964,0.215522,0.892856,1.41071,0.500009,0,0.500009,0.500009,0,0,0,0,12,0,12,12,0.50072,0,0.50072,0.50072,4.20463,2.47807,2.64213,7.87427,
1.9,11,3,6,6,1.27992,0.3996,0.92857,2.00098,2.33334,4.49073,0.500009,11.5,0,0,0,0,11.1667,2.04124,7,12,2.33413,4.49091,0.50072,11.5012,5.24606,2.91906,2.96356,9.17784,
1.9,14,5,6,4,1.20536,0.222797,1,1.5,0.500009,0,0.500009,0.500009,0,0,0,0,9.5,5,2,12,0.50072,0,0.50072,0.50072,12.3921,12.3286,3.98141,30.6957,
1.9,17,6,6,5,1.15357,0.0348097,1.10714,1.17857,0,0,0,0,0,0,0,0,12,0,12,12,0,0,0,0,3.67857,0.429872,2.91071,3.91071,
1.9,19,6,6,5,1.36805,0.32151,1.10714,1.92955,1.3,2.90689,0,6.5,0,0,0,0,12,0,12,12,1.30023,2.90741,0,6.50116,3.40671,0.26771,2.94428,3.64286,
2,4,3,7,2,1.34027,0.126268,1.25098,1.42955,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,77.9979,4.57094,74.7657,81.23,
2,16,5,8,6,1.19741,0,1.19741,1.19741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,7.51274,0.595521,6.94428,8.44428,
2,3,2,9,7,1.16425,0.140391,1.0367,1.42955,11.5,0,11.5,11.5,0,0,0,0,2,0,2,2,11.5012,0,11.5012,11.5012,4.78867,1.59515,3.105,7.605,
2,2,4,2,7,1.25765,0.0804273,1.19643,1.375,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,3.15488,0.760675,2.73141,4.87427,
2,7,3,2,6,1.22917,0.141248,1.125,1.41071,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,6.45165,2.17795,2.62427,8.65999,
2,8,3,2,6,1.15476,0.18023,0.910713,1.44643,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,7.95165,2.44093,3.15998,9.6957,
2,9,2,2,6,1.32143,0.484057,1.07143,2.28571,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,6.09821,1.61588,3,7.23214,
2,10,4,4,7,1.375,0.0944911,1.33929,1.58929,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,2.91071,0.472456,2.73214,3.98214,
2,12,4,4,6,1.13095,0.0583207,1.10714,1.25,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,3.52083,0.613665,3.17857,4.75,
2,13,5,4,5,1.4,0.424384,1.125,2.08928,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,6.81356,0.626605,6.17784,7.48141,
2,20,2,4,7,4.43877,6.46159,1.19643,19.0179,0.50001,3.40168e-06,0.500009,0.500018,1.28571,3.40168,0,8.99999,9,0,9,9,0.50072,0,0.50072,0.50072,19.1804,11.6896,8.48141,37.2493,
2,15,5,5,7,1.40306,0.339419,1.25,2.16071,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,9.05612,2.10768,7.19643,13.4821,
2,1,2,6,6,1.08929,0.220737,0.892856,1.375,0.500009,0,0.500009,0.500009,0,0,0,0,12,0,12,12,0.50072,0,0.50072,0.50072,3.79391,1.67571,2.64213,6.40998,
2,11,3,6,5,1.225,0.110512,1.125,1.41071,0.500009,0,0.500009,0.500009,0,0,0,0,12,0,12,12,0.50072,0,0.50072,0.50072,17.5707,6.46183,10.2136,23.4636,
2,14,5,6,8,1.09152,0.183959,1,1.5,0.500009,0,0.500009,0.500009,0,0,0,0,12,0,12,12,0.50072,0,0.50072,0.50072,6.56847,6.83635,2.99927,22.91,
2,17,6,6,7,1.19643,0.116186,1.03571,1.28571,0,0,0,0,0,0,0,0,12,0,12,12,0,0,0,0,4.43622,0.732133,3.5,5.39286,
2,19,6,6,7,1.33163,0.283259,1,1.76786,0,0,0,0,0,0,0,0,12,0,12,12,0,0,0,0,4.2602,0.878023,3.16072,5.64286,
2.1,4,3,7,2,2.20634,0.0631354,2.1617,2.25098,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,116.007,14.1548,105.998,126.016,
2.1,16,5,8,6,1.19443,0.00729009,1.17955,1.19741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,6.75678,1.50356,5.46214,9.49785,
2.1,3,2,9,6,1.20336,0.127108,1.0367,1.42955,11.5,0,11.5,11.5,0,0,0,0,2,0,2,2,11.5012,0,11.5012,11.5012,3.35202,0.878268,2.94428,5.14071,
2.1,2,4,2,6,1.20536,0.0915777,1.125,1.375,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,4.70463,1.21894,2.90998,5.92784,
2.1,7,3,2,6,1.35714,0.105342,1.14286,1.41071,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,5.73141,2.4491,2.62427,8.1957,
2.1,8,3,2,6,1.35417,0.308968,1.16071,1.94643,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,6.87427,3.1416,2.62427,9.24927,
2.1,9,2,2,6,1.33631,0.00729009,1.32143,1.33929,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,3.52083,1.92315,2.73214,7.44643,
2.1,10,4,4,6,1.34821,0.209393,1.08929,1.58929,0,0,0,0,0,0,0,0,7.33333,0.816497,7,9,0,0,0,0,5.05655,1.88033,2.73214,6.75,
2.1,12,4,4,2,1.10714,0,1.10714,1.10714,0,0,0,0,0,0,0,0,8,1.41421,7,9,0,0,0,0,8.42857,7.42462,3.17857,13.6786,
2.1,13,5,4,8,1.30803,0.113241,1.125,1.375,0.500009,0,0.500009,0.500009,0,0,0,0,7.5,0.92582,7,9,0.50072,0,0.50072,0.50072,7.8765,7.38837,2.74927,24.5707,
2.1,15,5,5,6,1.375,0.332354,0.910713,1.91071,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,24.8304,11.0136,9.66071,36.8214,
2.1,1,2,6,7,1.22959,0.169542,0.892856,1.39286,0.500009,0,0.500009,0.500009,0,0,0,0,12,0,12,12,0.50072,0,0.50072,0.50072,3.48141,1.70109,2.64213,7.28498,
2.1,11,3,6,6,1.33036,0.304044,0.910713,1.66071,0.500009,0,0.500009,0.500009,0,0,0,0,12,0,12,12,0.50072,0,0.50072,0.50072,10.2463,5.32852,4.48141,19.8921,
2.1,14,5,6,5,1.6,0.285044,1.25,2,0.500009,0,0.500009,0.500009,0,0,0,0,12,0,12,12,0.50072,0,0.50072,0.50072,6.20641,2.0011,3.46356,7.98141,
2.1,17,6,6,6,1.16667,0.0291604,1.10714,1.17857,0,0,0,0,0,0,0,0,12,0,12,12,0,0,0,0,3.86905,0.0291604,3.85714,3.92857,
2.1,19,6,6,6,1.26786,0,1.26786,1.26786,0,0,0,0,0,0,0,0,12,0,12,12,0,0,0,0,3.47917,0.00729009,3.46429,3.48214,
2.2,12,2,7,8,3.02257,5.24501,1.09027,16.001,1.625,3.00892,0,6.5,0.113839,0.321986,0,0.910713,5.75,2.31455,2,7,1.62529,3.00945,0,6.50116,48.8812,32.2083,2.71214,87.8036,
2.2,10,4,9,4,1.26859,0.234223,1.00098,1.57143,8.625,5.75,0,11.5,0,0,0,0,3.25,2.5,2,7,8.62587,5.75058,0,11.5012,8.88678,4.13369,2.75,11.6764,
2.2,4,2,2,11,1.3823,0.322944,1.12598,2.1617,5.31818,2.62938,0,6.5,0,0,0,0,3.27273,2.83164,2,9,5.31913,2.62985,0,6.50116,78.6395,50.0076,4.32143,173.659,
2.2,8,3,2,5,3.74643,5.59298,1.17857,13.75,0.500009,0,0.500009,0.500009,1.11071,2.48363,0,5.55357,9,0,9,9,0.50072,0,0.50072,0.50072,19.1207,16.9585,2.9457,42.8743,
